217.196.99.67:443#Saint Petersburg@1701
109.71.242.105:8443#Saint Petersburg@2004
31.129.42.100:2053#Saint Petersburg@2403
89.248.207.37:443#Saint Petersburg@2607
81.163.28.53:8443#Saint Petersburg@2670
194.67.204.158:8443#Saint Petersburg@3242
89.223.31.216:2053#Saint Petersburg@3249
31.129.48.139:443#Saint Petersburg@3314
185.87.48.78:2053#Saint Petersburg@3442
87.228.25.176:2053#Saint Petersburg@3640
31.129.49.103:443#Saint Petersburg@3822
202.49.176.124:8443#Saint Petersburg@3837
81.163.17.22:9443#Saint Petersburg@3857
87.228.13.130:8443#Saint Petersburg@3916
94.103.183.229:2053#Saint Petersburg@3978
213.159.208.88:2053#Saint Petersburg@3996
94.139.245.154:8443#Saint Petersburg@4004
